Station,Line,Latitude,Longitude,Order,Is Junction
Shaheed Sthal,Red Line,28.6706109,77.4155822,29,0
Hindon,Red Line,28.67339387,77.40637187,28,0
Arthala,Red Line,28.6774038,77.39186649,27,0
Mohan Nagar,Red Line,28.67885336,77.38388423,26,0
Shyam Park,Red Line,28.67821109,77.3702595,25,0
Major Mohit Sharma,Red Line,28.6776112,77.3581426,24,0
Raj Bagh,Red Line,28.6769686,77.34654877,23,0
Shaheed Nagar,Red Line,28.67661092,77.33373854,22,0
Dilshad Garden,Red Line,28.67588615,77.32143998,21,0
Jhilmil,Red Line,28.6757033,77.31250458,20,0
Mansarovar Park,Red Line,28.67543544,77.30094355,19,0
Shahdara,Red Line,28.6734037,77.28974036,18,0
Welcome,Red Line,28.67187728,77.27766198,17,1
Seelampur,Red Line,28.6698302,77.26675403,16,0
Shastri Park,Red Line,28.6682776,77.25039874,15,0
Kashmere Gate,Red Line,28.66752988,77.22824749,14,1
Tis Hazari,Red Line,28.6671323,77.21662796,13,0
Pul Bangash,Red Line,28.6663751,77.20752912,12,0
Pratap Nagar,Red Line,28.66660571,77.19893378,11,0
Shastri Nagar,Red Line,28.67008874,77.18187493,10,0
Inderlok,Red Line,28.67359048,77.1703307,9,1
Kanhaiya Nagar,Red Line,28.68236316,77.16483754,8,0
Keshav Puram,Red Line,28.6889264,77.1616833,7,0
Netaji Subhash Place,Red Line,28.69629049,77.15261431,6,1
Kohat Enclave,Red Line,28.69799743,77.14063761,5,0
Pitam Pura,Red Line,28.70308708,77.13254374,4,0
Rohini East,Red Line,28.70809334,77.12589186,3,0
Rohini West,Red Line,28.7149569,77.115385,2,0
Rithala,Red Line,28.7208064,77.1071813,1,0
